index,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,release_date,year,decade,era,is_hit
484,2HUZVffVPXvqnrml0gXggp,Howlin' Wolf,Moanin' In The Moonlight,Smokestack Lightnin',62,188400,False,0.661,0.342,9,-16.361,0,0.043,0.844,0.000128,0.26,0.588,146.118,4,acoustic,1958-03-01,1958,1950,Pre-70s,False
881,7j02rdE5RVtNcNMuLGY5SS,Howlin' Wolf,Howlin' Wolf,Spoonful,58,170000,False,0.821,0.376,0,-13.622,1,0.0487,0.669,1.39e-05,0.106,0.824,119.039,4,acoustic,1962-01-11,1962,1960,Pre-70s,False
440,5QjuTblPokfD03fkfHUuVK,Dave Van Ronk,Folksinger,"Hang Me, Oh Hang Me",54,190106,False,0.504,0.0273,2,-21.441,1,0.0415,0.931,1.1e-05,0.109,0.395,120.24,4,acoustic,1962,1962,1960,Pre-70s,False
535,5bC6ONDsL88snGN6QasjZH,Sonny Boy Williamson II,More Real Folk Blues,Help Me,60,188200,False,0.745,0.436,5,-9.617,0,0.043,0.597,0.0213,0.61,0.771,114.216,4,acoustic,1966-08-03,1966,1960,Pre-70s,False
642,3ocm1Cf1Dk1ODrdBdybh82,Albert King,Born Under A Bad Sign (Mono),Born Under A Bad Sign - Mono Mix,58,169997,False,0.711,0.483,11,-11.211,1,0.0298,0.434,0.012,0.0284,0.884,91.652,4,acoustic,1967-01-01,1967,1960,Pre-70s,False
1315,0fxjsll9jmmRgMFbwdp4Xg,Mulatu Astatke,New York - Addis - London: The Story of Ethio Jazz 1965-1975,Yègellé Tezeta,51,194293,False,0.839,0.233,3,-13.539,1,0.0413,0.745,0.747,0.105,0.777,125.597,4,afrobeat,1969,1969,1960,Pre-70s,False
1358,7JPNvoMjoIXkTDAMx9Aajj,Mulatu Astatke,New York - Addis - London: The Story of Ethio Jazz 1965-1975,Tezeta,49,368539,False,0.549,0.254,10,-14.48,1,0.0416,0.962,0.931,0.0994,0.541,81.484,3,afrobeat,1969,1969,1960,Pre-70s,False
1622,1xI62yXrvcXuLTzUmkmlje,Mandrill,Mandrill,Mandrill,19,260360,False,0.536,0.734,0,-14.068,1,0.0584,0.0785,0.712,0.181,0.689,133.655,4,afrobeat,1970,1970,1970,Pre-70s,False
682,2Qj1FilGsXITZbFVmVeoLy,Freddie King,Getting Ready... (World),I'm Tore Down,54,253333,False,0.64,0.496,2,-11.124,1,0.0413,0.616,4.63e-05,0.183,0.954,116.632,4,acoustic,1971,1971,1970,70s-90s,False
1702,5rJSFuBV3QBGTrywHJt5sA,Manu Dibango,African Voodoo,Coconut,44,131045,False,0.652,0.84,7,-7.198,0,0.0305,0.145,0.136,0.0468,0.955,113.623,4,afrobeat,1972,1972,1970,70s-90s,False
627,0g5bEa2Kxz18QLp4qotw3z,Yosui Inoue,陽水II センチメンタル (Remastered 2018),能古島の片想い - Remastered 2018,29,212080,False,0.494,0.465,6,-6.095,1,0.027,0.705,0.0,0.0693,0.275,132.501,4,acoustic,1972-12-10,1972,1970,70s-90s,False
1459,6tkSDxoNHMQ6eoeJGB2Q22,Cymande,Cymande,Bra,47,306360,False,0.676,0.769,7,-10.142,1,0.0535,0.00545,0.0256,0.131,0.891,117.733,4,afrobeat,1972-01-01,1972,1970,70s-90s,False
1368,6p7KEJStN2J1EpsT3hZVqH,Mandrill,Composite Truth,Hang Loose,22,288933,False,0.54,0.797,7,-10.777,0,0.0617,0.434,0.165,0.12,0.935,128.291,4,afrobeat,1972-01-01,1972,1970,70s-90s,False
1886,2a4pTooehkmiD7hQ5DeyC5,Manu Dibango,African Voodoo,Soul Saxes Meeting,17,178428,False,0.636,0.826,3,-7.486,1,0.0585,0.461,0.271,0.141,0.731,102.809,4,afrobeat,1972,1972,1970,70s-90s,False
984,1dRIpmF4spf1WCruaM59pN,Yosui Inoue,陽水II センチメンタル (Remastered 2018),神無月にかこまれて - Remastered 2018,26,220213,False,0.633,0.647,4,-6.348,0,0.0318,0.133,0.00021,0.0858,0.775,150.805,4,acoustic,1972-12-10,1972,1970,70s-90s,False
1251,4TbIOAb7FfbhHi2glq0EwA,Cymande,Cymande,Dove,48,655440,False,0.439,0.475,6,-12.559,0,0.0361,0.449,0.253,0.0903,0.428,111.717,4,afrobeat,1972-01-01,1972,1970,70s-90s,False
1989,3MhErr2oHiTPfbxG8Ya9s1,Manu Dibango,Africadelic,Soul Fiesta,16,128985,False,0.58,0.984,7,-5.592,1,0.0384,0.367,0.751,0.115,0.5,136.671,4,afrobeat,1972-09-01,1972,1970,70s-90s,False
1976,0F7SrgvWE55PgFxxsUe96v,Manu Dibango,African Voodoo,Ba-Kuba,16,233002,False,0.535,0.658,5,-8.559,0,0.0316,0.235,0.806,0.248,0.911,107.382,4,afrobeat,1972,1972,1970,70s-90s,False
1718,60xdLXU4rTPmPTPrfelJDf,Mandrill,Mandrill Is,I Refuse To Smile,18,247760,False,0.544,0.697,4,-7.36,0,0.0323,0.205,0.000121,0.193,0.654,87.557,4,afrobeat,1972-01-01,1972,1970,70s-90s,False
1335,2eU6yZOsTESuFQfl0T4zVf,Mandrill,Mandrill Is,Lord Of The Golden Baboon,23,214306,False,0.571,0.845,7,-6.674,1,0.0837,0.0484,0.734,0.139,0.586,128.627,4,afrobeat,1972-01-01,1972,1970,70s-90s,False
1759,672sXt55h2Ol2MTcbKR5Sw,Manu Dibango,African Voodoo,Groovy Flute,47,153097,False,0.678,0.845,3,-9.412,1,0.0392,0.791,0.782,0.0637,0.965,104.653,4,afrobeat,1972,1972,1970,70s-90s,False
1076,5vilhku7KUCbRlog1d0lBy,Mandrill,Just Outside Of Town,Fat City Strut,34,199360,False,0.422,0.862,7,-6.534,0,0.153,0.602,0.00904,0.294,0.826,80.526,3,afrobeat,1973-01-01,1973,1970,70s-90s,False
1173,7Fy5yxwDFi71dQId1TEMjV,Mandrill,Just Outside Of Town,Mango Meat,28,286613,False,0.596,0.686,2,-7.915,1,0.103,0.28,0.00969,0.0726,0.729,103.949,4,afrobeat,1973-01-01,1973,1970,70s-90s,False
1625,3iQ0daGW8MTp2I4UQvy1ee,Letta Mbulu,Naturally,Noma Themba,19,206066,False,0.734,0.411,0,-8.984,1,0.0253,0.656,0.000775,0.0924,0.532,90.629,4,afrobeat,1973-01-01,1973,1970,70s-90s,False
1729,7cROqgeNkyYTMdQ5u5moGS,Cymande,Second Time Round,For Baby Ooh,18,137400,False,0.817,0.211,9,-16.785,1,0.136,0.948,2.62e-06,0.11,0.71,112.21,4,afrobeat,1973-01-01,1973,1970,70s-90s,False
