,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,release_date
0,5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,73,230666,False,0.676,0.461,1.0,-6.746,0.0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4.0,acoustic,2022-04-08
1,4qPNDBW1i3p13qLCt0Ki3A,Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,55,149610,False,0.42,0.166,1.0,-17.235,1.0,0.0763,0.924,5.56e-06,0.101,0.267,77.489,4.0,acoustic,2021-04-30
2,1iJBSr7s7jYXzM8EGcbK5b,Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,57,210826,False,0.438,0.359,0.0,-9.734,1.0,0.0557,0.21,0.0,0.117,0.12,76.332,4.0,acoustic,2021-03-17
3,6lfxq3CG4xtTiEg7opyCyx,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,71,201933,False,0.266,0.0596,0.0,-18.515,1.0,0.0363,0.905,7.07e-05,0.132,0.143,181.74,3.0,acoustic,2018-08-10
4,5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On,Hold On,82,198853,False,0.618,0.443,2.0,-9.681,1.0,0.0526,0.469,0.0,0.0829,0.167,119.949,4.0,acoustic,2017-02-03
5,01MVOl9KtVTNfFiBU9I7dc,Tyrone Wells,Days I Will Remember,Days I Will Remember,58,214240,False,0.688,0.481,6.0,-8.807,1.0,0.105,0.289,0.0,0.189,0.666,98.017,4.0,acoustic,2018-04-20
6,6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74,229400,False,0.407,0.147,2.0,-8.822,1.0,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3.0,acoustic,2014-01-20
7,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,80,242946,False,0.703,0.444,11.0,-9.331,1.0,0.0417,0.559,0.0,0.0973,0.712,150.96,4.0,acoustic,2008-05-12
8,0IktbUcnAGrvD03AWnz3Q8,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,74,189613,False,0.625,0.414,0.0,-8.7,1.0,0.0369,0.294,0.0,0.151,0.669,130.088,4.0,acoustic,2008-05-12
9,7k9GuJYLp2AzqokyEdwEw2,Ross Copperman,Hunger,Hunger,56,205594,False,0.442,0.632,1.0,-6.77,1.0,0.0295,0.426,0.00419,0.0735,0.196,78.899,4.0,acoustic,2015-04-21
10,4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,Episode,Give Me Your Forever,74,244800,False,0.627,0.363,8.0,-8.127,1.0,0.0291,0.279,0.0,0.0928,0.301,99.905,4.0,acoustic,2021-10-15
11,5ivF4eQBqJiVL5IAE9jRyl,Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,69,240165,False,0.483,0.303,4.0,-10.058,1.0,0.0429,0.694,0.0,0.115,0.139,133.406,3.0,acoustic,2012-04-13
12,4ptDJbJl35d7gQfeNteBwp,Dan Berk,Solo,Solo,52,198712,False,0.489,0.314,7.0,-9.245,0.0,0.0331,0.749,0.0,0.113,0.607,124.234,4.0,acoustic,2018-06-15
13,0X9MxHR1rTkEHDjp95F2OO,Anna Hamilton,Bad Liar,Bad Liar,62,248448,False,0.691,0.234,3.0,-6.441,1.0,0.0285,0.777,0.0,0.12,0.209,87.103,4.0,acoustic,2018-12-14
